brand,category,price,product_id,thumbnail_url,url,was_price
HItachi,Large Appliances,"SAR2,849",PS-1700FJ,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/h/i/hitachi_twin_tub_washing_machine_17kg_thailand_brown_-_ps-1700fj.jpg,https://blackbox.com.sa/en/hitachi-twin-tub-washing-machine-17kg-thailand-brown-ps-1700fj.html,"SAR3,396"
Panasonic,Large Appliances,"SAR2,999",NA-S056FR1,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/p/a/panasonic_front_load_washing_machine_10.5kg_dryer_6kg_100_silver_-_na-s056fr1.jpg,https://blackbox.com.sa/en/panasonic-front-load-washing-machine-10-5kg-dryer-6kg-100-silver-na-s056fr1.html,"SAR6,399"
Panasonic,Large Appliances,"SAR3,499",NR-BC833VSSA,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/p/a/panasonic_refrigerator_top_freezer_2doors_23ft_650ltr_inverter_gray_-_nr-bc833vssa.jpg,https://blackbox.com.sa/en/panasonic-refrigerator-top-freezer-2doors-23ft-650ltr-inverter-gray-nr-bc833vssa.html,"SAR5,399"
Midea,Air Conditioners & Accessories,"SAR2,349",WDV24CWG,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/i/midea_rotary_window_air_condition_20500btu_cold_only_deluxe_inverter_wg_-_wdv24cwg.jpg,https://blackbox.com.sa/en/midea-rotary-window-air-condition-20500btu-cold-only-deluxe-inverter-wg.html,"SAR3,475"
Midea,Air Conditioners & Accessories,"SAR2,049",WDV18HWG,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/i/midea_window_air_conditioner_17600btu_rotary_hotp_cold_inverter_-_wdv18hwg.3.jpg,https://blackbox.com.sa/en/midea-window-air-conditioner-17600btu-rotary-hotp-cold-inverter-wdv18hwg.html,"SAR2,749"
Mark,Small Kitchen Appliances,SAR969,MAV-2513,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/a/mark_oil_heater_2500w_13_fins_-_mav-2513.jpg,https://blackbox.com.sa/en/mark-oil-heater-2500w-13fins-germany.html,"SAR1,349"
VINCENTI,Small Kitchen Appliances,SAR519,VOT16L100,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/v/i/vincenti_electric_oven_100l_2800w_5_control_unit_grill_black_-_vot16l100.jpg,https://blackbox.com.sa/en/vincenti-electric-oven-100l-2800w-5control-unit-grill-black.html,SAR819
Midea,Large Appliances,"SAR1,799",HS-543C,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/i/midea_chest_freezer_14.8_ft_418_l_375_w_white_-_hs-543c.jpg,https://blackbox.com.sa/en/midea-chest-freezer-14-8-ft-418l-357w-white-hs-543c.html,"SAR2,519"
HItachi,Small Kitchen Appliances,SAR377,CV-100G SS220 PG,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/c/v/cv-100g_ss220_pg_-_blackbox.jpeg,https://blackbox.com.sa/en/hitachi-drum-vaccum-cleaner-7-5-l-t-1300-w-gray-cv-100g-ss220-pg.html,SAR466
Mark,Small Kitchen Appliances,SAR999,MVA-2515,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/v/mva-2515_-_blackbox.jpeg,https://blackbox.com.sa/en/mark-oil-heater-15-fins-2500-watt-germany-mva-2515.html,"SAR1,399"
Kenwood,Small Kitchen Appliances,SAR105,OWZJP01.AOBK,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/k/e/kenwood_electric_kettle_1.7_l_2200_w_black_-_owzjp01.aobk_-_blackbox.jpeg,https://blackbox.com.sa/en/kenwood-electric-kettle-1-7-l-2200-w-black-owzjp01-aobk.html,SAR139
Philips,Small Kitchen Appliances,SAR143,HD7462/20,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/p/h/philips_coffee_maker_black_-_hd746220_-_blackbox.jpeg,https://blackbox.com.sa/en/philips-coffee-maker-1000-w-1-2-l-black-hd7462-20.html,SAR249
Philips,Small Kitchen Appliances,SAR269,FC8293/61,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/p/h/philips_vacuum_cleaner_1800w_-_fc829361_-_blackbox.jpeg,https://blackbox.com.sa/en/philips-vacuum-cleaner-1800w-3-l-super-clean-air-filter-fc8293-61.html,SAR399
